ID,Language_ID,Headword,Part_Of_Speech
1-aai,Gothic,†Aai,<none>
2-aba,Gothic,aba,"Noun, common, masculine"
3-abba,Gothic,abba,Foreign word
4-abeileni,Gothic,Abeileni,"Noun, proper"
5-abia,Gothic,Abia*,"Noun, proper"
6-abiaar,Gothic,Abiaþar,"Noun, proper"
7-abraham,Gothic,Abraham,"Noun, proper"
8-biabrjan,Gothic,bi-abrjan,Verb
9-abrs,Gothic,abrs,Adjective
10-abraba,Gothic,abraba,"Adverb, Comparative"
11-abu,Gothic,abu,<none>
12-adam,Gothic,Adam,"Noun, proper"
13-addei,Gothic,Addei*,"Noun, proper"
14-addin,Gothic,Addin,"Noun, proper"
15-adoneikam,Gothic,Adoneikam*,"Noun, proper"
16-af,Gothic,af,"Preposition, +D"
17-afar,Gothic,afar,Adverb
18-afara,Gothic,[afara],"Noun, common, masculine"
19-afardags,Gothic,afardags,"Noun, common, masculine"
20-afarsabbate,Gothic,afarsabbate,"Noun, common"
21-afdauis,Gothic,afdauiþs*,"Participle, past"
22-afdomeins,Gothic,afdomeins,"Noun, common, feminine"
23-afdrugkja,Gothic,afdrugkja,"Noun, common, masculine"
24-afetja,Gothic,afetja,"Noun, common, masculine"
25-afgrundia,Gothic,afgrundiþa,"Noun, common, feminine"
26-afgudei,Gothic,afgudei,"Noun, common, feminine"
27-afgus,Gothic,afguþs*,Adjective
28-afhaimeis,Gothic,afhaimeis*,Adjective
29-aflageins,Gothic,aflageins,"Noun, common, feminine"
30-aflet,Gothic,aflet*,"Noun, common, neuter"
31-afmarzeins,Gothic,afmarzeins,"Noun, common, feminine"
32-afmauis,Gothic,afmauiþs*,"Participle, past"
33-afsateins,Gothic,afsateins,"Noun, common, feminine"
34-afstass,Gothic,afstass,"Noun, common, feminine"
35-afta,Gothic,afta,"Adverb, locative"
36-aftana,Gothic,aftana,"Adverb, directional"
37-aftaro,Gothic,aftaro,Adverb
38-aftra,Gothic,aftra,Adverb
39-aftraanastodeins,Gothic,aftraanastodeins,"Noun, common, feminine"
40-aftuma,Gothic,aftuma,"Adjective, Comparative"
41-aftumists,Gothic,aftumists,"Adjective, Superlative"
42-agan,Gothic,-agan,Verb
43-agar,Gothic,Agar,"Noun, proper"
44-aggilus,Gothic,aggilus,"Noun, common, masculine"
45-aggwia,Gothic,aggwiþa,"Noun, common, feminine"
46-gaaggwjan,Gothic,ga-aggwjan,Verb
47-aggwus,Gothic,aggwus,Adjective
48-agis,Gothic,agis,"Noun, common, neuter"
49-afagjan,Gothic,af-agjan,Verb
50-inagjan,Gothic,in-agjan,Verb
51-usagjan,Gothic,us-agjan,Verb
52-aglaitei,Gothic,aglaitei,"Noun, common, feminine"
53-aglaitgastalds,Gothic,aglaitgastalds,Adjective
54-aglaiti,Gothic,aglaiti*,"Noun, common, neuter"
55-aglaitiwaurdei,Gothic,aglaitiwaurdei,"Noun, common, feminine"
56-aglia,Gothic,agliþa,"Noun, common, feminine"
57-usagljan,Gothic,us-agljan,Verb
58-aglo,Gothic,aglo,"Noun, common, feminine"
59-agls,Gothic,agls,Adjective
60-aglus,Gothic,aglus,Adjective
61-agluba,Gothic,agluba,"Adverb, Comparative"
62-agustus,Gothic,Agustus,"Noun, proper"
63-aha,Gothic,aha,"Noun, common, masculine"
64-ahaks,Gothic,ahaks,"Noun, common"
65-ahana,Gothic,ahana,"Noun, common, feminine"
66-aharon,Gothic,Aharon,"Noun, proper"
67-ahjan,Gothic,ahjan,Verb
68-ahma,Gothic,ahma,"Noun, common, masculine"
69-ahmateins,Gothic,ahmateins,"Noun, common, feminine"
70-ahmeins,Gothic,ahmeins,Adjective
71-ahs,Gothic,ahs,"Noun, common, neuter"
72-ahtau,Gothic,ahtau,"Numeral, cardinal"
73-ahtaudogs,Gothic,ahtaudogs,Adjective
74-ahtautehund,Gothic,ahtautehund,"Numeral, cardinal"
75-ahtuda,Gothic,ahtuda,"Numeral, cardinal"
76-aa,Gothic,aƕa,"Noun, common, feminine"
77-aia,Gothic,[Aia],"Noun, proper"
78-aibair,Gothic,Aibair,"Noun, proper"
79-aibr,Gothic,†aibr,"Noun, common"
80-aiddua,Gothic,Aiddua,"Noun, proper"
81-aieira,Gothic,Aieira,"Noun, proper"
82-aifaisius,Gothic,Aifaisius*,"Noun, proper"
83-aifaiso,Gothic,Aifaiso*,"Noun, proper"
84-aiffaa,Gothic,aiffaþa,Foreign word
85-aigan,Gothic,aigan*,Verb
86-fairaihan,Gothic,fair-aihan,Verb
87-aigin,Gothic,aigin,"Noun, common, neuter"
88-gaaiginon,Gothic,ga-aiginon,Verb
89-aihtron,Gothic,aihtron,Verb
