ID,Name,Concepticon_ID,Concepticon_Gloss
1-ehemann,Ehemann,1200,HUSBAND
9-sehr,sehr,1311,VERY
37-wieder,wieder,204,AGAIN
40-letzter,letzter,1529,LAST (FINAL)
46-eng,eng,1267,NARROW
67-geist,Geist,53,SPIRIT
71-acht,acht,1705,EIGHT
73-achtzig,achtzig,1722,EIGHTY
111-elf,elf,1706,ELEVEN
122-brief,Brief,1612,LETTER
132-erdeland,"Erde, Land",1228,EARTH (SOIL)
143-mutter,Mutter,1216,MOTHER
145-oder,oder,1014,OR
190-ol,Öl,1484,OIL (ORGANIC SUBSTANCE)
219-schulter,Schulter,1482,SHOULDER
252-abend,Abend,1629,EVENING
286-freudedankgnadegunst,"Freude; Dank; Gnade, Gunst",2524,JOY
299-arbeitendulden,arbeiten; dulden,1086,WORK (ACTIVITY)
303-arbeitdrangsal,"Arbeit, Drangsal",984,WORK (LABOUR)
311-pfeil,Pfeil,977,ARROW
323-arm,Arm,1673,ARM
329-sommer,Sommer,1342,SUMMER
340-ast,Ast,1531,BRANCH
357-fenster,Fenster,1375,WINDOW
358-zeigen,zeigen,1039,SHOW
360-auge,Auge,1248,EYE
361-larm,Lärm,1182,NOISE
363-ofen,Ofen,859,STOVE
371-hinzufugen,hinzufügen,2882,ADD
383-ohr,Ohr,1247,EAR
391-gromutter,Großmutter,1496,GRANDMOTHER
395-asche,Asche,646,ASH
401-baum,Baum,906,TREE
426-offen,offen,3235,OPEN (STATE)
428-bitter,bitter,887,BITTER
455-busenscho,"Busen, Schoß",1402,BREAST
471-wohnenbewohnen,"wohnen, bewohnen",363,"DWELL (LIVE, RESIDE)"
488-beien,beißen,1403,BITE
501-betenbitten,"beten, bitten",1828,ASK (REQUEST)
513-binden,binden,1917,TIE
518-eltern,Eltern,505,PARENTS
542-blind,blind,1653,BLIND
543-blume,Blume,239,FLOWER
546-blut,Blut,946,BLOOD
548-reibenzerreiben,"reiben, zerreiben",1449,RUB
549-buchstabe,Buchstabe,1024,CHARACTER
551-nutzen,Nutzen,2929,BENEFIT
557-breit,breit,1243,WIDE
561-bringen,bringen,692,BRING
568-bruder,Bruder,1262,BROTHER
575-brunnen,Brunnen,954,WELL
576-brust,Brust,1592,CHEST
579-kaufen,kaufen,1869,BUY
586-tag,Tag,1225,DAY (NOT NIGHT)
590-teilenzuteilenmitteilen,"teilen, zuteilen, mitteilen",1119,DIVIDE
595-teil,Teil,779,PART
597-grubeschluchttal,"Grube; Schlucht, Tal",2539,PIT (POTHOLE)
600-vonuntenunten,"von unten, unten",721,LOW
609-taubverstockt,"taub, verstockt",996,DEAF
610-tochter,Tochter,1357,DAUGHTER
613-geruch,Geruch,3704,ODOR (SMELL)
633-tod,Tod,910,DEATH
660-tragen,tragen,700,CARRY
674-treiben,treiben,2868,DRIVE (CATTLE)
678-trinken,trinken,1401,DRINK
680-fallen,fallen,1280,FALL
683-hinfallen,hinfallen,2894,TUMBLE (FALL DOWN)
685-abhang,Abhang,3076,SLOPE
712-eisen,Eisen,621,IRON
719-vater,Vater,1217,FATHER
725-geschicktgeeignet,"geschickt, geeignet",1824,DEXTEROUS
726-fangengreifen,"fangen, greifen",702,CATCH
730-zubereiten,zubereiten,1100,COOK (SOMETHING)
743-berg,Berg,639,MOUNTAIN
746-schuldgrundvorwurf,Schuld; Grund; Vorwurf,134,FAULT
748-alt,alt,1229,OLD
749-alter,Alter,1789,AGE
751-fern,fern,1406,FAR
754-ferse,Ferse,980,HEEL
765-fahren,fahren,741,DRIVE
770-dashaltenderdienst,"das Halten, der Dienst",1448,HOLD
771-zaun,Zaun,1690,FENCE
772-fuchs,Fuchs,1312,FOX
774-vor,vor,1883,IN FRONT OF
788-sichfurchten,sich fürchten,1419,FEAR (BE AFRAID)
793-zuvorfruher,"zuvor, früher",1882,BEFORE
797-seitegegend,"Seite, Gegend",682,SIDE
799-schmucken,schmücken,1739,DECORATE
804-vier,vier,1500,FOUR
807-finger,Finger,1303,FINGER
809-feind,Feind,1358,ENEMY
814-verbergen,verbergen,602,HIDE (CONCEAL)
831-funf,fünf,493,FIVE
836-fischen,fischen,2638,FISHING
837-fisch,Fisch,227,FISH
841-prahlen,prahlen,101,BOAST
843-stromflut,"Strom, Flut",666,RIVER
851-fu,Fuß,1301,FOOT
855-fragen,fragen,1309,ASK (INQUIRE)
858-versuchen,versuchen,1812,TRY
860-same,Same,714,SEED
866-fremdeinersache,fremd; einer Sache,109,FOREIGN
887-sunde,Sünde,2971,SIN
895-lieben,lieben,923,LOVE
897-freund,Freund,1325,FRIEND
904-frost,Frost,2034,FROST
