ID,Description,Entry_ID
1-aai,†Aai,1-aai
2-ehemann,Ehemann,2-aba
3-vater,Vater,3-abba
4-abeileni,Abeileni,4-abeileni
5-abia,Abia*,5-abia
6-abiaar,Abiaþar,6-abiaar
7-abraham,Abraham,7-abraham
8-vorfurchtstaunenauersichgeratenuber,"vor Furcht, Staunen außer sich geraten über",8-biabrjan
9-starkheftig,"stark, heftig",9-abrs
10-sehr,sehr,10-abraba
11-vonvonwegvonher,"von, von __ weg, von __ her",11-abu
12-adam,Adam,12-adam
13-addei,Addei*,13-addei
14-addin,Addin,14-addin
15-adoneikam,Adoneikam*,15-adoneikam
16-vonvonwegvonher,"von, von __ weg, von __ her",16-af
17-nachher,nachher,17-afar
18-nachkomme,Nachkomme,18-afara
19-derfolgendetag,der folgende Tag,19-afardags
20-desnachsabbatsdhdeserstenwochentags,des Nachsabbats d.h. des ersten Wochentags,20-afarsabbate
21-geplagt,geplagt,21-afdauis
22-verdammung,Verdammung,22-afdomeins
23-trunkenbold,Trunkenbold,23-afdrugkja
24-fresser,Fresser,24-afetja
25-abgrund,Abgrund,25-afgrundia
26-gottlosigkeit,Gottlosigkeit,26-afgudei
27-abgottischgottlos,"abgöttisch, gottlos",27-afgus
28-derheimatfern,der Heimat fern,28-afhaimeis
29-ablegungerla,"Ablegung, Erlaß",29-aflageins
30-erla,Erlaß,30-aflet
31-betrug,Betrug,31-afmarzeins
32-ermudet,ermüdet,32-afmauis
33-absetzung,Absetzung,33-afsateins
34-abfall,Abfall,34-afstass
35-hinten,hinten,35-afta
36-vonhinten,von hinten,36-aftana
37-vonhinten,von hinten,37-aftaro
38-wieder,wieder,38-aftra
39-wiederanfangwiedererneuerung,"Wiederanfang, Wiedererneuerung",39-aftraanastodeins
40-letzter,letzter,40-aftuma
41-letzter,letzter,41-aftumists
42-furchtlos,furchtlos,42-agan
43-agar,Agar,43-agar
44-engelbote,"Engel, Bote",44-aggilus
45-bedrangnis,Bedrängnis ,45-aggwia
46-bedrangen,bedrängen,46-gaaggwjan
47-eng,eng,47-aggwus
48-furchtschrecken,"Furcht, Schrecken",48-agis
49-angstigen,ängstigen,49-afagjan
50-einenanfahren,einen anfahren,50-inagjan
51-einenerschrecken,einen erschrecken,51-usagjan
52-unzucht,Unzucht,52-aglaitei
53-schmutziggewinnsuchtig,schmutzig gewinnsüchtig,53-aglaitgastalds
54-unzucht,Unzucht,54-aglaiti
55-schandrede,Schandrede,55-aglaitiwaurdei
56-drangsal,Drangsal,56-aglia
57-bedrangen, bedrängen,57-usagljan
58-drangsal,Drangsal,58-aglo
59-schimpflich,schimpflich,59-agls
60-schwierig,schwierig,60-aglus
61-agluba,agluba,61-agluba
62-agustus,Agustus,62-agustus
63-sinnverstand,"Sinn, Verstand",63-aha
64-zahmetaube,zahme  Taube,64-ahaks
65-spreu,Spreu,65-ahana
66-aharon,Aharon,66-aharon
67-meinen,meinen,67-ahjan
68-geist,Geist,68-ahma
69-inspiration,Inspiration,69-ahmateins
70-geistiggeistlich,"geistig, geistlich",70-ahmeins
71-ahre,Ähre,71-ahs
72-acht,acht,72-ahtau
73-achttagig,achttägig,73-ahtaudogs
74-achtzig,achtzig,74-ahtautehund
75-derachte,der achte,75-ahtuda
76-flugewasser,"Fluß, Gewässer",76-aa
77-aia,[Aia],77-aia
78-aibair,Aibair,78-aibair
79-opfergabe,Opfergabe,79-aibr
80-aiddua,Aiddua,80-aiddua
81-aieira,Aieira,81-aieira
82-aifaisius,Aifaisius*,82-aifaisius
83-aifaiso,Aifaiso*,83-aifaiso
84-offnedich,öffne dich,84-aiffaa
85-haben,haben,85-aigan
86-teilhabenan,teilhaben an,86-fairaihan
87-eigentum,Eigentum,87-aigin
88-inbesitznehmen,In Besitz nehmen,88-gaaiginon
89-bettelnfursichverlangen,betteln; für sich verlangen,89-aihtron
90-gebet,Gebet,90-aihtrons
91-eigentum,Eigentum,91-aihts
92-dornstrauch,Dornstrauch,92-aiatundi
93-leugnen,leugnen,93-afaikan
94-gemeindekirchegotteshaus,"Gemeinde, Kirche; Gotteshaus",94-aikklesjo
95-ailam,Ailam,95-ailam
96-aileiaizair,Aileiaizair,96-aileiaizair
97-aileiakeim,Aileiakeim,97-aileiakeim
98-aileisabai,Aileisabaiþ,98-aileisabai
99-ailoe,ailoe,99-ailoe
100-ailul,[Ailul],100-ailul
101-aimmeira,Aimmeira*,101-aimmeira
102-eingeboren,eingeboren,102-ainabaur
103-einzig,einzig,103-ainaha
104-vereinzeltalleinstehend,"vereinzelt, alleinstehend",104-ainakls
105-einheiteinmutigkeit,"Einheit, Einmütigkeit",105-ainamundia
106-vereinzelntrennen,"vereinzeln, trennen",106-gaainan
107-einfalt,Einfalt,107-ainfalei
108-einfach,einfach,108-ainfals
109-einfaltig,einfältig,109-ainfalaba
110-einjeder,ein jeder,110-ainarjizuh
111-jedervonbeiden,jeder von beiden,111-ainaaruh
112-elf,elf,112-ainlif
113-ainnaa,Ainnaa,113-ainnaa
114-ainok,Ainok,114-ainok
115-ainos,Ainos,115-ainos
116-ains,ains,116-ains
117-niemandkeiner,"niemand, keiner",117-ainshun
118-aiodia,Aiodia,118-aiodia
119-aipafras,Aipafras,119-aipafras
120-aipafraudeitus,Aipafraudeitus,120-aipafraudeitus
121-bischofsamt,Bischofsamt,121-aipiskaupei
122-bischof,Bischof,122-aipiskaupus
123-brief,Brief,123-aipistaule
124-fruh,früh,124-air
125-langsteher,"längst, eher",125-airis
126-airastus,Airastus,126-airastus
127-gesandterseinunterhandeln,"Gesandter sein, unterhandeln",127-airinon
128-vorfahren,Vorfahren,128-airizans
129-heilig,heilig,129-airkns
130-lauterkeitechtheit,"Lauterkeit, Echtheit",130-airknia
131-airmodam,Airmodam,131-airmodam
132-airmogaineis,Airmogaineis,132-airmogaineis
133-erdeland,"Erde, Land",133-aira
134-vonirdischerabkunft,von irdischer Abkunft,134-airakunds
135-irdisch,irdisch,135-aireins
136-bote,Bote,136-airus
137-irrlehre,Irrlehre,137-airzei
138-irregefuhrt,irre geführt,138-airzeis
139-irrlehre,Irrlehre,139-airzia
140-irrefuhren,irre führen,140-airzjan
141-irremachen,irre machen,141-afairzjan
142-sichscheuenvor,sich scheuen vor,142-aistan
143-sichscheuenvor,sich scheuen vor,143-gaaistan
144-mutter,Mutter,144-aiei
145-eid,Eid,145-ais
146-oder,oder,146-aiau
147-evangelium,Evangelium,147-aiwaggeli
148-aiwaggelista,aiwaggelista,148-aiwaggelista
149-dasevangeliumverkunden,das Evangelium verkünden,149-aiwaggeljan
150-evangelium,Evangelium,150-aiwaggeljo
151-ewig,ewig,151-aiweins
152-schande,Schande,152-aiwiski
153-schandlichhandeln,schändlich handeln,153-aiwiskon
154-beschamenbeschimpfen,"beschämen, beschimpfen",154-gaaiwiskon
155-sichanstrengen,sich anstrengen,155-usaiwjan
156-segen,Segen ,156-aiwlaugia
157-aiwneikai,Aiwneikai,157-aiwneikai
158-zeitewigkeit,"Zeit, Ewigkeit",158-aiws
159-aiwwa,Aiwwa,159-aiwwa
160-dank,Dank,160-aiwxaristia
161-erz,Erz,161-aiz
162-aizaikeia,Aizaikeia,162-aizaikeia
163-erzschmied,Erzschmied,163-aizasmia
164-aizleim,Aizleim,164-aizleim
165-aizor,Aizor,165-aizor
166-ewigkeit,Ewigkeit,166-ajukdus
167-sondern,sondern,167-ak
168-akaja,Akaja,168-akaja
169-akajus,Akajus*,169-akajus
170-akaikus,Akaïkus,170-akaikus
171-aber,aber,171-akei
172-essig,Essig,172-aket
173-frucht,Frucht,173-akran
174-unfruchtbar,unfruchtbar,174-akranalaus
175-acker,Acker,175-akrs
176-akwla,Akwla,176-akwla
177-salbenbuchseausalabaster,Salbenbüchse aus Alabaster,177-alabalstraun
178-brandopfer,Brandopfer,178-alabrunsts
179-alaiksandrus,Alaiksandrus,179-alaiksandrus
180-insgesamt,insgesamt,180-alakjo
181-gesamtheitdermenschen,Gesamtheit der Menschen,181-alamans
182-alamannans,alamannans*,182-alamannans
183-alamod,Alamod,183-alamod
184-wachsen,wachsen,184-alan
185-anallemmangelleidend,an allem Mangel leidend,185-alaarba
186-alter,Alter,186-aldomin
187-menschenalterzeit,"Menschenalter, Zeit",187-alds
188-elle,Elle,188-aleina
189-ol,Öl,189-alew
190-olbaum,Ölbaum,190-alewabagms
191-ol,Öl,191-alewja
192-alfaius,Alfaius,192-alfaius
193-tempel,Tempel,193-alhs
194-auer,außer,194-alja
195-anderswoherstammend,anderswoher stammend,195-aljakuns
196-anders,anders,196-aljaleiko
197-anders,anders,197-aljaleikos
198-andersgebildetallegorisch,"anders gebildet, allegorisch",198-aljaleikos
199-masten,mästen,199-aljan
200-eifer,Eifer,200-aljan
201-eifern,eifern,201-aljanon
202-zornigmachen,zornig machen,202-inaljanon
203-anderswo,anderswo,203-aljar
204-anderswohin,anderswohin,204-alja
205-anderswoher,anderswoher,205-aljaro
206-einandrer,ein andrer,206-aljis
207-vollig,völlig,207-allandjo
208-vonallenseitenher,von allen Seiten her,208-allaro
209-vollkommen,vollkommen,209-allawaurstwa
210-redlichkeit,Redlichkeit,210-allawerei
211-uberhaupt,überhaupt,211-allis
212-alljederganz,"all, jeder, ganz",212-alls
213-allmachtiger,Allmächtiger,213-allwaldands
214-altwerden,alt werden,214-usalan
215-alt,alt,215-aleis
216-alul,[Alul],216-alul
217-ameinadab,Ameinadab*,217-ameinadab
218-amen,amen,218-amen
219-ammo,Ammo*,219-ammo
220-schulter,Schulter,220-ams
221-amsa,amsa*,221-amsa
222-dennnun,"denn, nun",222-an
223-daraufauerdem,"darauf, außerdem",223-ana
224-gebot,Gebot,224-anabusns
225-empfehlunguberlieferung,"Empfehlung, Überlieferung",225-anafilh
226-inderheimatbefindlich,in der Heimat befindlich,226-anahaimeis
227-plotzlich,plötzlich,227-anaks
228-lesung,Lesung,228-anakunnains
229-auflegung,Auflegung,229-analageins
230-verborgenheit,Verborgenheit,230-analaugnei
231-verborgen,verborgen,231-analaugns
