sense	pos	Concepticon_ID	Concepticon_Gloss
Aai	<none>		
Ehemann	Noun, common, masculine	1200	HUSBAND
Vater	Foreign word	1217	FATHER
Abeileni	Noun, proper		
Abia	Noun, proper		
Abiaþar	Noun, proper		
Abraham	Noun, proper		
vor Furcht, Staunen außer sich geraten über	Verb		
stark, heftig	Adjective	785	STRONG
sehr	Adverb, Comparative	1311	VERY
von, von __ weg, von __ her	<none>	693	FROM
Adam	Noun, proper		
Addei	Noun, proper		
Addin	Noun, proper		
Adoneikam	Noun, proper		
von, von __ weg, von __ her	Preposition, +D	693	FROM
nachher	Adverb	1685	AFTER
Nachkomme	Noun, common, masculine		
der folgende Tag	Noun, common, masculine		
des Nachsabbats dh des ersten Wochentags	Noun, common		
geplagt	Participle, past		
Verdammung	Noun, common, feminine		
Trunkenbold	Noun, common, masculine		
Fresser	Noun, common, masculine		
Abgrund	Noun, common, feminine		
Gottlosigkeit	Noun, common, feminine		
abgöttisch, gottlos	Adjective		
der Heimat fern	Adjective		
Ablegung, Erlaß	Noun, common, feminine		
Erlaß	Noun, common, neuter		
Betrug	Noun, common, feminine		
ermüdet	Participle, past	1757	TIRED
Absetzung	Noun, common, feminine		
Abfall	Noun, common, feminine		
hinten	Adverb, locative		
von hinten	Adverb, directional		
von hinten	Adverb		
wieder	Adverb	204	AGAIN
Wiederanfang, Wiedererneuerung	Noun, common, feminine		
letzter	Adjective, Comparative	1529	LAST (FINAL)
letzter	Adjective, Superlative	1529	LAST (FINAL)
furchtlos	Verb		
Agar	Noun, proper		
Engel, Bote	Noun, common, masculine		
Bedrängnis 	Noun, common, feminine		
bedrängen	Verb		
eng	Adjective	3053	TIGHT
Furcht, Schrecken	Noun, common, neuter		
ängstigen	Verb		
einen anfahren	Verb		
einen erschrecken	Verb		
Unzucht	Noun, common, feminine		
schmutzig gewinnsüchtig	Adjective		
Unzucht	Noun, common, neuter		
Schandrede	Noun, common, feminine		
Drangsal	Noun, common, feminine		
 bedrängen	Verb		
Drangsal	Noun, common, feminine		
schimpflich	Adjective		
schwierig	Adjective	584	DIFFICULT
agluba	Adverb, Comparative		
Agustus	Noun, proper		
Sinn, Verstand	Noun, common, masculine	2950	MEANING
zahme  Taube	Noun, common		
Spreu	Noun, common, feminine		
Aharon	Noun, proper		
meinen	Verb		
Geist	Noun, common, masculine	53	SPIRIT
Inspiration	Noun, common, feminine		
geistig, geistlich	Adjective		
Ähre	Noun, common, neuter	3244	EAR (OF GRAIN)
acht	Numeral, cardinal	1705	EIGHT
achttägig	Adjective		
achtzig	Numeral, cardinal	1722	EIGHTY
der achte	Numeral, cardinal		
Fluß, Gewässer	Noun, common, feminine		
[Aia]	Noun, proper		
Aibair	Noun, proper		
Opfergabe	Noun, common		
Aiddua	Noun, proper		
Aieira	Noun, proper		
Aifaisius	Noun, proper		
Aifaiso	Noun, proper		
öffne dich	Foreign word		
haben	Verb	773	HAVE
teilhaben an	Verb		
Eigentum	Noun, common, neuter		
In Besitz nehmen	Verb		
betteln; für sich verlangen	Verb	3534	BEG
Gebet	Noun, common, feminine		
Eigentum	Noun, common, feminine		
Dornstrauch	Noun, common, feminine		
leugnen	Verb	755	DENY
Gemeinde, Kirche; Gotteshaus	Noun, common, feminine	1349	CHURCH
Ailam	Noun, proper		
Aileiaizair	Noun, proper		
Aileiakeim	Noun, proper		
Aileisabaiþ	Noun, proper		
ailoe	Foreign word		
