Grapheme	IPA
aai	a ɛ
aba	a β a
abba	a bː a
abeileni	a β i l e n ɪ
abia	a β ɪ a
abiaþar	a β ɪ a θ a r
abraham	a β r a h a m
biabrjan	b ɪ a β r j a n
abrs	a β r̥ s
abraba	a β r a β a
abu	a β u
adam	a ð a m
addei	a dː i
addin	a dː ɪ n
adoneikam	a ð o n i k a m
af	a ɸ
afar	a ɸ a r
afara	a ɸ a r a
afardags	a ɸ a r d a ɣ s
afarsabbate	a ɸ a r s a bː a t e
afdauiþs	a ɸ d ɔ ɪ θ s
afdomeins	a ɸ d o m i n s
afdrugkja	a ɸ d r u ŋ k j a
afetja	a ɸ e t j a
afgrundiþa	a ɸ ɡ r u n d ɪ θ a
afgudei	a ɸ ɡ u ð i
afguþs	a ɸ ɡ u θ s
afhaimeis	a ɸ h ɛ m i s
aflageins	a ɸ l a ɣ i n s
aflet	a ɸ l e t
afmarzeins	a ɸ m a r z i n s
afmauiþs	a ɸ m ɔ ɪ θ s
afsateins	a ɸ s a t i n s
afstass	a ɸ s t a sː
afta	a ɸ t a
aftana	a ɸ t a n a
aftaro	a ɸ t a r o
aftra	a ɸ t r a
aftraanastodeins	a ɸ t r a a n a s t o ð i n s
aftuma	a ɸ t u m a
aftumists	a ɸ t u m ɪ s t s
agan	a ɣ a n
agar	a ɣ a r
aggilus	a ŋ ɡ ɪ l u s
aggwiþa	a ɡ ɡ w ɪ θ a
gaaggwjan	ɡ a a ɡ ɡ w j a n
aggwus	a ɡ ɡ w u s
agis	a ɣ ɪ s
afagjan	a ɸ a ɣ j a n
inagjan	ɪ n a ɣ j a n
usagjan	u s a ɣ j a n
aglaitei	a ɣ l ɛ t i
aglaitgastalds	a ɣ l ɛ t ɡ a s t a l d s
aglaiti	a ɣ l ɛ t ɪ
aglaitiwaurdei	a ɣ l ɛ t ɪ w ɔ r d i
agliþa	a ɣ l ɪ θ a
usagljan	u s a ɣ l j a n
aglo	a ɣ l o
agls	a ɣ l̥ s
aglus	a ɣ l u s
agluba	a ɣ l u β a
agustus	a ɣ u s t u s
aha	a h a
ahaks	a h a k s
ahana	a h a n a
aharon	a h a r o n
ahjan	a h j a n
ahma	a h m a
ahmateins	a h m a t i n s
ahmeins	a h m i n s
ahs	a h s
ahtau	a h t ɔ
ahtaudogs	a h t ɔ ð o ɣ s
ahtautehund	a h t ɔ t e h u n d
ahtuda	a h t u ð a
aƕa	a ʍ a
aia	ɛ a
aibair	ɛ β ɛ r
aibr	ɛ β r̥
aiddua	ɛ dː u a
aieira	ɛ i r a
aifaisius	ɛ ɸ ɛ s ɪ u s
aifaiso	ɛ ɸ ɛ s o
aiffaþa	ɛ ɸː a θ a
aigan	ɛ ɣ a n
fairaihan	ɸ ɛ r ɛ h a n
aigin	ɛ ɣ ɪ n
gaaiginon	ɡ a ɛ ɣ ɪ n o n
aihtron	ɛ h t r o n
aihtrons	ɛ h t r o n s
aihts	ɛ h t s
aiƕatundi	ɛ ʍ a t u n d ɪ
afaikan	a ɸ ɛ k a n
aikklesjo	ɛ kː l e s j o
ailam	ɛ l a m
aileiaizair	ɛ l i ɛ z ɛ r
aileiakeim	ɛ l i a k i m
aileisabaiþ	ɛ l i s a β ɛ θ
ailoe	ɛ l o e
ailul	ɛ l u l
aimmeira	ɛ mː i r a
ainabaur	ɛ n a β ɔ r
ainaha	ɛ n a h a
ainakls	ɛ n a k l̥ s
ainamundiþa	ɛ n a m u n d ɪ θ a
gaainan	ɡ a ɛ n a n
ainfalþei	ɛ n ɸ a l θ i
ainfalþs	ɛ n ɸ a l θ s
ainfalþaba	ɛ n ɸ a l θ a β a
ainƕarjizuh	ɛ n ʍ a r j ɪ z u h
ainƕaþaruh	ɛ n ʍ a θ a r u h
ainlif	ɛ n l ɪ ɸ
ainnaa	ɛ nː a a
ainok	ɛ n o k
ainos	ɛ n o s
