Grapheme	IPA
Aai	aɛ
aba	aβa
abba	abːa
Abeileni	aβilenɪ
Abia	aβɪa
Abiaþar	aβɪaθar
Abraham	aβraham
biabrjan	bɪaβrjan
abrs	aβr̥s
abraba	aβraβa
abu	aβu
Adam	aðam
Addei	adːi
Addin	adːɪn
Adoneikam	aðonikam
af	aɸ
afar	aɸar
afara	aɸara
afardags	aɸardaɣs
afarsabbate	aɸarsabːate
afdauiþs	aɸdɔɪθs
afdomeins	aɸdomins
afdrugkja	aɸdruŋkja
afetja	aɸetja
afgrundiþa	aɸɡrundɪθa
afgudei	aɸɡuði
afguþs	aɸɡuθs
afhaimeis	aɸhɛmis
aflageins	aɸlaɣins
aflet	aɸlet
afmarzeins	aɸmarzins
afmauiþs	aɸmɔɪθs
afsateins	aɸsatins
afstass	aɸstasː
afta	aɸta
aftana	aɸtana
aftaro	aɸtaro
aftra	aɸtra
aftraanastodeins	aɸtraanastoðins
aftuma	aɸtuma
aftumists	aɸtumɪsts
agan	aɣan
Agar	aɣar
aggilus	aŋɡɪlus
aggwiþa	aɡɡwɪθa
gaaggwjan	ɡaaɡɡwjan
aggwus	aɡɡwus
agis	aɣɪs
afagjan	aɸaɣjan
inagjan	ɪnaɣjan
usagjan	usaɣjan
aglaitei	aɣlɛti
aglaitgastalds	aɣlɛtɡastalds
aglaiti	aɣlɛtɪ
aglaitiwaurdei	aɣlɛtɪwɔrdi
agliþa	aɣlɪθa
usagljan	usaɣljan
aglo	aɣlo
agls	aɣl̥s
aglus	aɣlus
agluba	aɣluβa
Agustus	aɣustus
aha	aha
ahaks	ahaks
ahana	ahana
Aharon	aharon
ahjan	ahjan
ahma	ahma
ahmateins	ahmatins
ahmeins	ahmins
ahs	ahs
ahtau	ahtɔ
ahtaudogs	ahtɔðoɣs
ahtautehund	ahtɔtehund
ahtuda	ahtuða
aƕa	aʍa
Aia	ɛa
Aibair	ɛβɛr
aibr	ɛβr̥
Aiddua	ɛdːua
Aieira	ɛira
Aifaisius	ɛɸɛsɪus
Aifaiso	ɛɸɛso
aiffaþa	ɛɸːaθa
aigan	ɛɣan
fairaihan	ɸɛrɛhan
aigin	ɛɣɪn
gaaiginon	ɡaɛɣɪnon
aihtron	ɛhtron
aihtrons	ɛhtrons
aihts	ɛhts
aiƕatundi	ɛʍatundɪ
afaikan	aɸɛkan
aikklesjo	ɛkːlesjo
Ailam	ɛlam
Aileiaizair	ɛliɛzɛr
Aileiakeim	ɛliakim
Aileisabaiþ	ɛlisaβɛθ
ailoe	ɛloe
Ailul	ɛlul
Aimmeira	ɛmːira
ainabaur	ɛnaβɔr
ainaha	ɛnaha
ainakls	ɛnakl̥s
ainamundiþa	ɛnamundɪθa
gaainan	ɡaɛnan
ainfalþei	ɛnɸalθi
ainfalþs	ɛnɸalθs
ainfalþaba	ɛnɸalθaβa
ainƕarjizuh	ɛnʍarjɪzuh
ainƕaþaruh	ɛnʍaθaruh
ainlif	ɛnlɪɸ
Ainnaa	ɛnːaa
Ainok	ɛnok
Ainos	ɛnos
ains	ɛns
ainshun	ɛnshun
Aiodia	ɛoðɪa
Aipafras	ɛpaɸras
Aipafraudeitus	ɛpaɸrɔðitus
aipiskaupei	ɛpɪskɔpi
aipiskaupus	ɛpɪskɔpus
aipistaule	ɛpɪstɔle
áir	ɛr
airis	ɛrɪs
Airastus	ɛrastus
airinon	ɛrɪnon
áirizans	ɛrɪzans
airkns	ɛrkn̥s
airkniþa	ɛrknɪθa
Airmodam	ɛrmoðam
Airmogaineis	ɛrmoɣɛnis
airþa	ɛrθa
airþakunds	ɛrθakunds
airþeins	ɛrθins
airus	ɛrus
airzei	ɛrzi
airzeis	ɛrzis
airziþa	ɛrzɪθa
airzjan	ɛrzjan
afairzjan	aɸɛrzjan
aistan	ɛstan
gaaistan	ɡaɛstan
aiþei	ɛθi
