form	sense	pos
†Aai	†Aai	<none>
aba	Ehemann	Noun, common, masculine
abba	Vater	Foreign word
Abeileni	Abeileni	Noun, proper
Abia*	Abia*	Noun, proper
Abiaþar	Abiaþar	Noun, proper
Abraham	Abraham	Noun, proper
bi-abrjan	vor Furcht, Staunen außer sich geraten über	Verb
abrs	stark, heftig	Adjective
abraba	sehr	Adverb, Comparative
abu	von, von __ weg, von __ her	<none>
Adam	Adam	Noun, proper
Addei*	Addei*	Noun, proper
Addin	Addin	Noun, proper
Adoneikam*	Adoneikam*	Noun, proper
af	von, von __ weg, von __ her	Preposition, +D
afar	nachher	Adverb
[afara]	Nachkomme	Noun, common, masculine
afardags	der folgende Tag	Noun, common, masculine
afarsabbate	des Nachsabbats d.h. des ersten Wochentags	Noun, common
afdauiþs*	geplagt	Participle, past
afdomeins	Verdammung	Noun, common, feminine
afdrugkja	Trunkenbold	Noun, common, masculine
afetja	Fresser	Noun, common, masculine
afgrundiþa	Abgrund	Noun, common, feminine
afgudei	Gottlosigkeit	Noun, common, feminine
afguþs*	abgöttisch, gottlos	Adjective
afhaimeis*	der Heimat fern	Adjective
aflageins	Ablegung, Erlaß	Noun, common, feminine
aflet*	Erlaß	Noun, common, neuter
afmarzeins	Betrug	Noun, common, feminine
afmauiþs*	ermüdet	Participle, past
afsateins	Absetzung	Noun, common, feminine
afstass	Abfall	Noun, common, feminine
afta	hinten	Adverb, locative
aftana	von hinten	Adverb, directional
aftaro	von hinten	Adverb
aftra	wieder	Adverb
aftraanastodeins	Wiederanfang, Wiedererneuerung	Noun, common, feminine
aftuma	letzter	Adjective, Comparative
aftumists	letzter	Adjective, Superlative
-agan	furchtlos	Verb
Agar	Agar	Noun, proper
aggilus	Engel, Bote	Noun, common, masculine
aggwiþa	Bedrängnis 	Noun, common, feminine
ga-aggwjan	bedrängen	Verb
aggwus	eng	Adjective
agis	Furcht, Schrecken	Noun, common, neuter
af-agjan	ängstigen	Verb
in-agjan	einen anfahren	Verb
us-agjan	einen erschrecken	Verb
aglaitei	Unzucht	Noun, common, feminine
aglaitgastalds	schmutzig gewinnsüchtig	Adjective
aglaiti*	Unzucht	Noun, common, neuter
aglaitiwaurdei	Schandrede	Noun, common, feminine
agliþa	Drangsal	Noun, common, feminine
us-agljan	 bedrängen	Verb
aglo	Drangsal	Noun, common, feminine
agls	schimpflich	Adjective
aglus	schwierig	Adjective
agluba	agluba	Adverb, Comparative
Agustus	Agustus	Noun, proper
aha	Sinn, Verstand	Noun, common, masculine
ahaks	zahme  Taube	Noun, common
ahana	Spreu	Noun, common, feminine
Aharon	Aharon	Noun, proper
ahjan	meinen	Verb
ahma	Geist	Noun, common, masculine
ahmateins	Inspiration	Noun, common, feminine
ahmeins	geistig, geistlich	Adjective
ahs	Ähre	Noun, common, neuter
ahtau	acht	Numeral, cardinal
ahtaudogs	achttägig	Adjective
ahtautehund	achtzig	Numeral, cardinal
ahtuda	der achte	Numeral, cardinal
aƕa	Fluß, Gewässer	Noun, common, feminine
[Aia]	[Aia]	Noun, proper
Aibair	Aibair	Noun, proper
†aibr	Opfergabe	Noun, common
Aiddua	Aiddua	Noun, proper
Aieira	Aieira	Noun, proper
Aifaisius*	Aifaisius*	Noun, proper
Aifaiso*	Aifaiso*	Noun, proper
aiffaþa	öffne dich	Foreign word
aigan*	haben	Verb
fair-aihan	teilhaben an	Verb
aigin	Eigentum	Noun, common, neuter
ga-aiginon	In Besitz nehmen	Verb
aihtron	betteln; für sich verlangen	Verb
aihtrons	Gebet	Noun, common, feminine
aihts	Eigentum	Noun, common, feminine
aiƕatundi	Dornstrauch	Noun, common, feminine
af-aikan	leugnen	Verb
aikklesjo	Gemeinde, Kirche; Gotteshaus	Noun, common, feminine
Ailam	Ailam	Noun, proper
Aileiaizair	Aileiaizair	Noun, proper
Aileiakeim	Aileiakeim	Noun, proper
Aileisabaiþ	Aileisabaiþ	Noun, proper
ailoe	ailoe	Foreign word
[Ailul]	[Ailul]	<none>
Aimmeira*	Aimmeira*	Noun, proper
ainabaur	eingeboren	Noun, common, masculine
ainaha	einzig	Adjective
ainakls	vereinzelt, alleinstehend	Adjective
ainamundiþa	Einheit, Einmütigkeit	Noun, common, feminine
[ga-ainan]	vereinzeln, trennen	Verb
ainfalþei	Einfalt	Noun, common, feminine
ainfalþs	einfach	Adjective
ainfalþaba	einfältig	Adverb, Comparative
ainƕarjizuh	ein jeder	Pronoun, indefinite
ainƕaþaruh*	jeder von beiden	Pronoun, indefinite
ainlif*	elf	Numeral, cardinal
Ainnaa	Ainnaa	Noun, proper
Ainok	Ainok	Noun, proper
Ainos	Ainos	Noun, proper
ains	ains	Adjective
ainshun	niemand, keiner	Pronoun, indefinite
Aiodia	Aiodia	Noun, proper
Aipafras	Aipafras	Noun, proper
Aipafraudeitus	Aipafraudeitus	Noun, proper
aipiskaupei*	Bischofsamt	Noun, common, feminine
aipiskaupus	Bischof	Noun, common, masculine
aipistaule	Brief	Noun, common
áir	früh	Adverb, temporal
airis	längst, eher	Adverb, Comparative
Airastus	Airastus	Noun, proper
airinon	Gesandter sein, unterhandeln	Verb
áirizans	Vorfahren	Adjective, Comparative
[airkns]	heilig	Adjective
airkniþa	Lauterkeit, Echtheit	Noun, common, feminine
Airmodam	Airmodam	Noun, proper
Airmogaineis	Airmogaineis	Noun, proper
airþa	Erde, Land	Noun, common, feminine
airþakunds	von irdischer Abkunft	Adjective
airþeins	irdisch	Adjective
airus	Bote	Noun, common, masculine
airzei	Irrlehre	Noun, common, feminine
airzeis*	irre geführt	Adjective
airziþa	Irrlehre	Noun, common, feminine
airzjan	irre führen	Verb
af-airzjan	irre machen	Verb
aistan	sich scheuen vor	Verb
ga-aistan	sich scheuen vor	Verb
aiþei	Mutter	Noun, common, feminine
aiþs	Eid	Noun, common, masculine
aiþþau	oder	Conjunction
aiwaggeli	Evangelium	Noun, common, neuter
aiwaggelista	aiwaggelista	Noun, common, masculine
aiwaggeljan	das Evangelium verkünden	Verb
aiwaggeljo	Evangelium	Noun, common, feminine
aiweins	ewig	Adjective
aiwiski	Schande	Noun, common, neuter
aiwiskon	schändlich handeln	Verb
ga-aiwiskon	beschämen, beschimpfen	Verb
us-aiwjan	sich anstrengen	Verb
aiwlaugia	Segen 	Noun, common, masculine
Aiwneikai	Aiwneikai	Noun, proper
aiws	Zeit, Ewigkeit	Noun, common, masculine
Aiwwa	Aiwwa	Noun, proper
aiwxaristia	Dank	Noun, common
aiz	Erz	Noun, common, neuter
Aizaikeia	Aizaikeia	Noun, proper
aizasmiþa	Erzschmied	Noun, common, masculine
Aizleim	Aizleim	Noun, proper
Aizor	Aizor	Noun, proper
ajukdūþs*	Ewigkeit	Noun, common, feminine
ak	sondern	Conjunction
Akaja	Akaja	Noun, proper
Akajus*	Akajus*	Noun, proper
Akaïkus	Akaïkus	Noun, proper
akei	aber	Conjunction
aket*	Essig	Noun, common
akran	Frucht	Noun, common, neuter
akranalaus	unfruchtbar	Adjective
akrs	Acker	Noun, common, masculine
Akwla	Akwla	Noun, proper
alabalstraun	Salbenbüchse aus Alabaster	Noun, common
alabrunsts	Brandopfer	Noun, common, feminine
Alaiksandrus	Alaiksandrus	Noun, proper
alakjo	insgesamt	Adverb
alamans*	Gesamtheit der Menschen	Noun, common, masculine
alamannans*	alamannans*	<none>
Alamod	Alamod	Noun, proper
alan	wachsen	Verb
alaþarba	an allem Mangel leidend	Adjective
aldomin	Alter	Noun, common
alds	Menschenalter, Zeit	Noun, common, feminine
aleina	Elle	Noun, common, feminine
alew*	Öl	Noun, common, neuter
alewabagms	Ölbaum	Noun, common, masculine
alewja	Öl	Adjective
Alfaius	Alfaius	Noun, proper
alhs	Tempel	Noun, common, feminine
alja	außer	Conjunction
aljakuns	anderswoher stammend	Adjective
aljaleiko	anders	Adverb
aljaleikos	anders	Adverb, Comparative
[aljaleikoþs]	anders gebildet, allegorisch	Participle, past
aljan	mästen	Verb
aljan	Eifer	Noun, common, neuter
aljanon	eifern	Verb
in-aljanon	zornig machen	Verb
aljar	anderswo	Adverb, locative
aljaþ	anderswohin	Adverb, directional
aljaþro	anderswoher	Adverb, directional
aljis*	ein andrer	Adjective
allandjo	völlig	Adverb
allaþro	von allen Seiten her	Adverb, directional
allawaurstwa	vollkommen	Noun, common, masculine
