ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	MEANING	SENSE	SENSE_ID
1	2924	A LITTLE	leitils	klein;  wenig	 wenig	wenig-1
4	2882	ADD	bi-aukan	hinzufügen	hinzufügen	hinzufugen-1
7	204	AGAIN	aftra	wieder	wieder	wieder-1
8	1789	AGE	aldomin	Alter	Alter	Alter-1
9	1789	AGE	fairniþa	Alter	Alter	Alter-2
10	27	AIR	luftu	Luft	Luft	Luft-1
12	1964	ALONE	sundro	abgesondert;  besonders;  allein	 allein	allein-1
13	2576	ALREADY	ju	schon	schon	schon-1
14	2576	ALREADY	juþan	schon	schon	schon-2
15	1676	ALWAYS	sinteino	immer;  allezeit	immer	immer-1
17	2987	AMOUNT	hiuhma	 Menge; Haufe	 Menge	Menge-2
18	2987	AMOUNT	managei	Menge	Menge	Menge-3
19	1577	AND	jah	und;  und zwar;  auch	und	und-1
20	1577	AND	-uh	 nun; und;  also	und	und-2
25	2980	AREA	fera	Seite;  Gegend	 Gegend	Gegend-1
26	2980	AREA	land	Land;  Gegend	 Gegend	Gegend-2
27	1673	ARM	arms	Arm	Arm	Arm-1
28	1387	ARRIVE	niutan	treffen;  erreichen;  einer Sache froh sein	 erreichen	erreichen-1
29	977	ARROW	arƕazna	Pfeil	Pfeil	Pfeil-1
30	646	ASH	azgo	Asche	Asche	Asche-1
31	1309	ASK (INQUIRE)	fragan	fragen	fragen	fragen-1
32	1309	ASK (INQUIRE)	fraihnan	fragen	fragen	fragen-2
33	1828	ASK (REQUEST)	bidjan	 betteln; bitten;  beten	bitten	bitten-1
34	1828	ASK (REQUEST)	ga-bidjan	 bitten; beten	 bitten	bitten-2
36	2915	AT FIRST	frumist	zuerst	zuerst	zuerst-1
52	972	BE ABLE	magan*	können;  vermögen	können	konnen-1
53	1422	BE ALIVE	liban	leben	leben	leben-1
54	1422	BE ALIVE	us-mitan	wandeln;  leben;  sich benehmen	 leben	leben-2
55	1422	BE ALIVE	qius*	lebendig	lebendig	lebendig-1
56	2223	BE ANGRY	hatizon	zürnen	zürnen	zurnen-1
57	2223	BE ANGRY	un-werjan	 zürnen; unwillig sein	 zürnen	zurnen-2
58	2223	BE ANGRY	woþs*	wütend;  besessen	wütend	wutend-1
60	1533	BE HUNGRY	gredags	hungrig	hungrig	hungrig-1
61	1533	BE HUNGRY	gredon	hungern	hungern	hungern-1
62	1533	BE HUNGRY	huggrjan	hungern	hungern	hungern-2
67	1990	BECOME	wairþan	werden	werden	werden-1
69	1663	BED	badi	Bett	Bett	Bett-1
70	1663	BED	ligrs	 Bett; Lager	 Bett	Bett-2
